Предмет;Процент комиссии;Стоимость логистики;Стоимость хранения
Щетки для животных;17;79.0;0.06
Корм влажный;17;79.0;0.06
Подставки для мисок;17;114.0;0.17
Ватники для лошадей;17;114.0;0.17
Бантики для животных;17;96.0;0.11
Соль для аквариумов;17;96.0;0.11
Светильники для аквариума;17;96.0;0.11
Лотки для животных;17;473.0;0.47
Ограждения для животных;17;473.0;0.47
Скребницы;17;96.0;0.11
Вешалки для одежды животным;17;114.0;0.17
Фены для животных;17;473.0;0.47
Ухватки для собак;17;114.0;0.17
Компрессоры для аквариума;17;96.0;0.11
Наборы для чистки аквариумов;17;114.0;0.17
Таблетки для животных;17;96.0;0.11
Когтеточки;17;473.0;0.47
Коврики-подстилки для животных;17;473.0;0.47
Платья для животных;17;96.0;0.11
Мыло для животных;17;96.0;0.11
Духи для животных;17;96.0;0.11
Насадки для стрижки животных;17;96.0;0.11
Толстовки для животных;17;96.0;0.11
Корм сухой;17;473.0;0.47
Спринцовки для животных;17;114.0;0.17
Таймеры для автоматизации птичника;17;114.0;0.17
Подгузники для животных;17;114.0;0.17
Пеленки для животных;17;96.0;0.11
Сумки для лакомств;17;96.0;0.11
Отсатники для рыб;17;96.0;0.11
Ползунки для животных;17;114.0;0.17
Совки для туалета;17;79.0;0.09
Помпы для аквариума;17;114.0;0.17
Сменные блоки к диффузорам для животных;17;114.0;0.17
Декорации для муравьиных ферм;17;114.0;0.26
Корсеты для животных;17;473.0;0.47
Бандажи для животных;17;96.0;0.11
Смеси лечебные для животных;17;114.0;0.17
Дымари для пчел;17;114.0;0.17
Тримминги;17;96.0;0.11
Полотенца для животных;17;96.0;0.11
Дезодоранты для животных;17;96.0;0.11
Навесные поилки;17;114.0;0.26
Тальк для животных;17;114.0;0.17
Коврики для лотков;17;473.0;0.47
Наполнители для террариумов;17;79.0;0.06
Рептухи для сена;17;114.0;0.17
Шины для животных;17;114.0;0.17
Светильники для террариумов;17;114.0;0.17
Пледы для животных;17;473.0;0.47
Свитеры для животных;17;96.0;0.11
Термометры для животных;17;114.0;0.26
Яйца подкладные;17;114.0;0.17
Сумки для обследования животных;17;96.0;0.11
Инструменты для вычёсывания животных;17;114.0;0.17
Диффузоры для кальяна;17;592.0;0.7
Чехлы для зажигалок;20;96.0;0.11
Прочие изделия для курения;20;114.0;0.17
Фольга для кальянов;17;79.0;0.09
Пепельницы;17;96.0;0.11
Чехлы для электронных сигарет;20;96.0;0.11
Машинки для самокруток;17;114.0;0.17
Мундштуки для кальяна;17;79.0;0.06
Ершики для кальянов;17;96.0;0.11
Чистящие средства для кальяна;17;592.0;0.7
Кальяны;17;473.0;0.47
Мелассоуловители для кальяна;17;592.0;0.7
Угли для кальянов;17;96.0;0.11
Электронные сигареты;20;114.0;0.17
Резаки для сигары;20;114.0;0.17
Запчасти для электронных сигарет;20;114.0;0.17
Колбы для кальянов;17;592.0;0.7
Калауды;17;96.0;0.11
Портсигары;17;79.0;0.06
Подставки для кальянов;17;114.0;0.17
Колпаки для кальяна;17;592.0;0.7
Зажигалки бензиновые 18+;20;114.0;0.17
Мундштуки для сигарет;20;96.0;0.11
Зажигалки бензиновые;20;79.0;0.06
Трубки курительные;17;79.0;0.06
Чаши для кальянов;17;473.0;0.47
Зажигалки электронные;20;96.0;0.11
Шланги для кальянов;17;473.0;0.47
Шилья для кальяна;17;592.0;0.7
Кадило для кальяна;17;96.0;0.17
Зажигалки;20;79.0;0.06
Запчасти для зажигалок;20;114.0;0.17
Подставки для сигар;20;114.0;0.17
Товары для курения;15;114.0;0.17
Жидкости для электронных сигарет;20;96.0;0.11
Сетки для кальяна;17;79.0;0.06
Щипцы для кальянов;17;96.0;0.11
Системы нагрева;20;114.0;0.17
Бумага для самокруток;17;473.0;0.47
Хьюмидоры;17;592.0;0.7
Электрическая плита для углей;17;114.0;0.17
Бестабачные смеси для кальянов;17;592.0;0.7
Фильтры для курительных трубок;20;114.0;0.17
Бонги;17;96.0;0.11
Аксессуары к стульчикам для кормления;17;96.0;0.11
Переносные души-биде;17;473.0;0.47
Щеточки для ногтей;17;114.0;0.26
Таблички детские;17;114.0;0.17
Весы детские;17;473.0;0.47
Конверты для пеленания;17;96.0;0.11
Дождевики для колясок;17;473.0;0.47
Шезлонги детские;17;592.0;0.7
Подогреватели детского питания;17;96.0;0.11
Поильники;17;96.0;0.11
Ленты для конверта новорожденного;17;96.0;0.11
Наколенники детские;17;96.0;0.11
Матрасы в кроватку для новорожденных;17;775.0;1.12
Коконы для новорожденных;17;592.0;0.7
Постельное белье для малышей;17;473.0;0.47
Органайзеры на коляску;17;473.0;0.47
Май-слинги;17;96.0;0.11
Прорезыватели;17;96.0;0.11
Накидки на ножки;17;114.0;0.17
Контейнеры для пустышек;17;96.0;0.17
Корзины для игрушек;17;473.0;0.47
Товары для малышей;12;394.0;0.7
Пояса от колик;17;114.0;0.17
Наволочки для малышей;17;473.0;0.47
Пакеты для детского питания;17;96.0;0.11
Наушники противошумные детские;17;96.0;0.11
Термометры для воды;17;96.0;0.11
Комплекты в коляску;17;473.0;0.47
Ложки для прикорма;17;96.0;0.11
Бортики для кроватей;17;775.0;1.12
Трубки газоотводные для новорожденных;17;114.0;0.17
Корректоры осанки при письме;17;114.0;0.17
Пододеяльники для малышей;17;775.0;1.12
Подушки для малышей;17;775.0;1.12
Ремни для автокресел;17;79.0;0.06
Уголки детские;17;473.0;0.47
Велокресла;17;775.0;1.12
Термометры детские;17;79.0;0.06
Чехлы для детских автокресел;17;473.0;0.47
Стерилизаторы детские;17;592.0;0.7
Грелки детские;17;96.0;0.11
Шторки для колясок и кресел;17;96.0;0.11
Замки для колясок;17;114.0;0.26
Матрасы в коляску;17;473.0;0.47
Пледы для малышей;17;592.0;0.7
Слинги с кольцами;17;114.0;0.17
Электро-качели;17;1103.0;1.12
Стопомеры;17;592.0;1.05
Светоотражатели детские;17;96.0;0.17
Слингобусы;17;114.0;0.17
Салфетки для груди;17;79.0;0.06
Тазики детские;17;473.0;0.47
Чехлы для шезлонга;17;114.0;0.17
Ковши детские;17;592.0;0.7
Пеленки;17;473.0;0.47
Клеенки детские;17;96.0;0.11
Детские накидки на стул;17;96.0;0.11
Манежи;17;592.0;0.7
Зеркала наблюдения за детьми;17;96.0;0.11
Вожжи;17;96.0;0.11
Коврики для кормления;17;473.0;0.47
Идентификационные браслеты детские;17;79.0;0.06
Противоударные шапки-шлемы;17;114.0;0.17
Молокоотсосы электрические;17;473.0;0.47
Слинг-накидки;17;96.0;0.11
Аксессуары в коляску;17;473.0;0.47
Коврики детские;17;473.0;0.47
Запчасти для детских колясок;17;96.0;0.11
Радионяни;17;79.0;0.06
Матрасы для переносок;17;592.0;0.7
Ванночки детские;17;775.0;1.12
Подставки для детских ванночек;17;473.0;0.47
Крючки для коляски;17;114.0;0.17
Прыгунки;17;114.0;0.17
Контейнеры для детского питания;17;96.0;0.11
Полотенца крестильные;17;473.0;0.47
Автокресла детские;17;1260.0;1.12
Молокоотсосы механические;17;114.0;0.17
Подушки для кормления;17;592.0;0.7
Соски;17;96.0;0.11
Бирки для новорожденных;17;114.0;0.17
Доски пеленальные;17;775.0;1.12
Аксессуары для молокоотсосов;17;96.0;0.11
Одеяла для малышей;17;775.0;1.12
Коляски прогулочные;17;775.0;1.12
Простыни натяжные для малышей;17;96.0;0.11
Трубочки для бутылочек;17;96.0;0.17
Хипсит;17;473.0;0.47
Защитные колпачки для термометров;17;592.0;1.05
Детские насадки на палец;17;114.0;0.17
Контейнеры для игрушек;17;1444.0;1.12
Матрасы пеленальные;17;592.0;0.7
Стульчики для кормления;17;775.0;1.12
Накидки для кормления грудью;17;96.0;0.11
Щетки для мытья бутылочек;17;114.0;0.17
Сушилки для бутылочек;17;96.0;0.11
Защитные сидушки детские;17;96.0;0.11
Ручки для бутылочек;17;114.0;0.17
Впитывающие вкладыши для подгузников;17;96.0;0.11
Видеоняни;17;96.0;0.11
Слингомайки;17;592.0;0.7
Ниблеры;17;96.0;0.17
Комплекты для купания новорожденных;17;473.0;0.47
Коляски-люльки;17;2888.0;1.12
Компрессы детские;17;592.0;0.7
Термосумки для бутылочек;17;96.0;0.11
Пароварка-блендеры;17;473.0;0.47
Наматрасники для малышей;17;114.0;0.17
Подножки для колясок;17;473.0;0.47
Наборы для ухода за новорожденными;17;592.0;0.7
Детские аптечки;17;114.0;0.17
Подзоры для кроватей;17;592.0;0.7
Санки-коляски;17;473.0;0.47
Салфетки для кормления;17;79.0;0.06
Защита для купания малыша;17;473.0;0.47
Рюкзаки-переноски;17;473.0;0.47
Кровати-манежи;17;775.0;1.12
Слинг-шарфы;17;96.0;0.11
Пакеты для стерилизатора;17;96.0;0.11
Защитные барьеры детские;17;473.0;0.47
Держатели для бутылочек;17;96.0;0.11
Утилизаторы;17;473.0;0.47
Простыни для малышей;17;96.0;0.11
Переноски для детей;17;592.0;0.7
Подстаканники для колясок;17;114.0;0.17
Держатели для пустышек;17;96.0;0.11
Муфты для колясок;17;114.0;0.17
Москитные сетки на коляску;17;114.0;0.26
Пустышки для медикаментов;17;114.0;0.17
Подгузники детские;17;592.0;0.7
Нагрудники;17;96.0;0.11
Защитные накладки для дома;17;96.0;0.11
Чехлы для колясок;17;96.0;0.11
Бамперы для колясок;17;473.0;0.47
Накладки на соски;17;96.0;0.11
Бутылочки для кормления;17;96.0;0.11
Машины для приготовления смеси;17;473.0;0.47
Пустышки;17;96.0;0.11
Покрывала для малышей;17;592.0;0.7
Пеленки крестильные;17;775.0;1.12
Наборы для кормления;17;96.0;0.11
Аксессуары для детских горшков;17;96.0;0.11
Детские горшки;17;473.0;0.47
Ножницы детские;17;96.0;0.11
Ростомеры;17;96.0;0.11
Столы садовые;20;592.0;0.7
Ремкомплекты для качелей;20;114.0;0.17
Сетки для сушки рыбы;17;473.0;0.47
Аксессуары для тандыров;17;592.0;0.7
Шампуры;17;473.0;0.47
Панно для бани;20;114.0;0.17
Дрова;17;473.0;0.47
Табуреты садовые;17;775.0;1.12
Сундуки садовые;17;592.0;0.7
Кресла садовые;20;473.0;0.47
Картриджи для насоса;17;79.0;0.06
Лестницы для бассейнов;17;592.0;0.7
Топливные брикеты;17;96.0;0.11
Аксессуары для газовых грилей;20;114.0;0.17
Кресла и пуфы надувные;20;473.0;0.47
Меха для розжига;17;96.0;0.17
Вакуумные очистители бассейнов;17;592.0;0.7
Обустройство бани;17;473.0;0.47
Зонты садовые;20;473.0;0.47
Стартеры для розжига;17;114.0;0.17
Фигурки и обереги для бани;20;114.0;0.26
Дозаторы для бассейнов;17;96.0;0.11
Стулья садовые;20;473.0;0.47
Аксессуары для банных печей;20;114.0;0.17
Зонты пляжные;17;775.0;1.12
Фильтрующие насосы для бассейнов;20;473.0;0.47
Шезлонги садовые;17;1706.0;1.12
Скиммеры;17;592.0;0.7
Полок для бани;20;473.0;0.47
Подставки для дров;17;775.0;1.12
Камни для бани;17;592.0;0.7
Аксессуары для чистки бассейна;20;473.0;0.47
Ремкомплекты для бассейнов;20;114.0;0.17
Принадлежности для гриля и барбекю;20;114.0;0.17
Насосы для надувных бассейнов;20;114.0;0.17
Мини-души;17;473.0;0.47
Подвесы и крепления для качелей;20;114.0;0.17
Печи для казана;20;592.0;0.7
Чаши для костра;17;775.0;1.12
Скамейки;17;473.0;0.47
Тенты универсальные;17;592.0;0.7
Наборы аксессуаров для бани;17;473.0;0.47
Подушки для садовых качелей;20;473.0;0.47
Матрасы для садовых качелей;17;1260.0;1.12
Береста для розжига;17;592.0;0.7
Брезенты;17;473.0;0.47
Шайки для бани;17;473.0;0.47
Качели садовые;17;473.0;0.47
Тенты для бассейнов;17;473.0;0.47
Тапочки для бани;17;96.0;0.11
Запчасти для качелей;20;114.0;0.17
Шапки для бани;17;114.0;0.17
Средства для бассейнов;15;96.0;0.11
Соляные брикеты;17;96.0;0.11
Средства для чистки грилей;20;114.0;0.17
Насосы для надувной мебели;20;114.0;0.17
Беспламенные нагреватели пищи;17;592.0;0.7
Рогатинки-гриль детские;17;592.0;1.05
Коврики для нагрева воды;17;592.0;0.7
Решетки для гриля;17;473.0;0.47
Портативная паровая баня;17;592.0;0.7
Комплекты садовой мебели;17;2494.0;1.12
Аксессуары для садовой мебели;17;592.0;0.7
Щепы для копчения;17;473.0;0.47
Окна для бани;17;592.0;0.7
Коптильни;17;592.0;0.7
Подставки для зонтов;17;592.0;0.7
Розжиги электрические;17;473.0;0.7
Бассейны;17;473.0;0.47
Полотенца пляжные;17;114.0;0.17
Ведра для золы;17;592.0;1.05
Подставки для шампуров;17;473.0;0.47
Бондарные изделия;17;775.0;1.12
Тенты для садовых качелей;17;473.0;0.47
Походный душ;17;473.0;0.47
Перегородки для мангалов;17;114.0;0.17
Угольные грили;17;775.0;1.12
Чехлы для барбекю и грилей;20;473.0;0.47
Коврики для бани;17;473.0;0.47
Таблички для бани;17;96.0;0.11
Кровати надувные;17;592.0;0.7
Факел-полено;20;775.0;1.12
Баки для бани;17;473.0;0.47
Тандыры;17;592.0;0.7
Матрасы надувные;17;473.0;0.47
Веники для бани;17;473.0;0.47
Массажеры для бани;17;114.0;0.17
Чехлы для садовой мебели;17;592.0;0.7
Освещение для бани;20;114.0;0.17
Коврики пляжные;17;473.0;0.47
Принадлежности для мангала;20;114.0;0.17
Хлорогенераторы;17;592.0;0.7
Надувная мебель;17;473.0;0.47
Подстилки для бассейнов;17;592.0;0.7
Грили газовые;17;775.0;1.12
Аксессуары для хранения дров;20;473.0;0.47
Уголь древесный;17;473.0;0.47
Мангалы;17;473.0;0.47
Треноги костровые;17;114.0;0.17
Чехлы для шампуров;17;79.0;0.06
Качели подвесные;17;592.0;0.7
Стойки для баллонов;17;96.0;0.11
Сухое горючее;17;96.0;0.17
Сменные кассеты для фильтров;17;96.0;0.11
Брикеты угольные;17;592.0;0.7
Рукавицы для бани;17;96.0;0.17
Диваны-шезлонги;17;473.0;0.47
Товары для отдыха и кемпинга;12;114.0;0.17
Купели для бани;17;592.0;0.7
Диваны садовые;20;3938.0;1.12
Диваны надувные;17;592.0;0.7
Кабины примерочные;17;473.0;0.47
Кронштейны для наружной рекламы;17;775.0;1.12
Терминалы для эквайринга;17;775.0;1.12
Карты RFID;17;79.0;0.09
Сортировщики банкнот;17;592.0;1.05
Пейджеры вызова персонала;17;114.0;0.17
Онлайн-кассы;17;775.0;1.12
Кассовые аппараты;17;473.0;0.47
Сортировщики монет;17;775.0;1.12
Фискальные накопители;17;775.0;1.12
Пистолеты-маркираторы;17;96.0;0.11
Сканеры штрих-кода;17;775.0;1.12
Торговое оборудование;12;516.0;1.12
Автоматы торговые механические;17;775.0;1.12
Другое торговое оборудование;17;473.0;0.47
Счетчики посетителей;17;775.0;1.12
Выносные дисплеи;17;775.0;1.12
Детекторы валют;17;592.0;0.7
Счетчики банкнот;17;2494.0;1.12
Конвейеры роликовые;17;775.0;1.12
Биркодержатели;17;96.0;0.11
Ящики для пожертвований;17;473.0;0.47
Весы торговые;17;775.0;1.12
Камеры видеонаблюдения;17;96.0;0.11
Видеорегистраторы цифровые;17;96.0;0.11
Мониторы видеодомофона;17;114.0;0.17
Извещатели пожарные;17;96.0;0.11
Системы охранной сигнализации;17;473.0;0.47
Муляжи камер видеонаблюдения;17;96.0;0.11
Видеоглазки;17;96.0;0.11
Датчики утечки газа;17;96.0;0.11
Панели вызывные для домофона;17;96.0;0.11
Системы видеонаблюдения;17;592.0;0.7
Блоки управления замком;17;79.0;0.06
Датчики двери;17;79.0;0.06
Дверные звонки;17;96.0;0.11
Умные светильники;20;114.0;0.17
Датчики задымления;17;96.0;0.11
Блоки питания для систем безопасности;17;592.0;0.7
Электроприводы для окон;20;114.0;0.17
Умные розетки;17;96.0;0.11
Датчики протечки воды;17;96.0;0.11
Ретрансляторы;17;114.0;0.17
Видеодомофоны;17;96.0;0.11
Пульты Умный дом;17;96.0;0.11
Умные лампочки;20;114.0;0.17
Датчики движения;17;96.0;0.11
Системы умный дом;17;96.0;0.11
Кнопки выхода;17;79.0;0.06
Датчики разбития стекла;17;79.0;0.09
Оповещатели звуковые;17;96.0;0.11
Датчики температуры;17;79.0;0.06
Умный дом и безопасность;12;114.0;0.17
Видеокамеры цифровые;17;96.0;0.11
Тревожные кнопки;17;114.0;0.26
Автоматика для ворот;17;473.0;0.47
Аудиодомофоны;17;96.0;0.11
Стоматологические препараты;20;114.0;0.17
Фарма;12;114.0;0.17
Витаминно-минеральные препараты;20;114.0;0.17
Противовирусные препараты;17;79.0;0.09
Гематологические препараты;20;114.0;0.17
Неврологические препараты;17;79.0;0.06
Противогеморроидальные препараты;20;114.0;0.26
Урологические препараты;17;96.0;0.11
Антигистаминные препараты;20;114.0;0.17
Лекарственные травы;20;114.0;0.26
Препараты от вредных привычек;20;114.0;0.17
Болеутоляющие препараты;20;114.0;0.17
Препараты для опорно-двигательного аппарата;20;114.0;0.17
Противогрибковые препараты;17;96.0;0.11
Препараты от простуды, гриппа и ОРВИ;20;114.0;0.26
Эндокринологические препараты;17;114.0;0.17
Глазные и ушные препараты;20;114.0;0.26
Сердечно-сосудистые препараты;17;79.0;0.09
Тесты диагностические;20;114.0;0.17
Гинекологические препараты;20;114.0;0.17
Дерматологические препараты;17;96.0;0.17
Препараты для пищеварительной системы;20;114.0;0.26
Препараты для дыхательной системы;20;114.0;0.26
Антипаразитарные и противомикробные препараты;20;114.0;0.26
Противоварикозные препараты;20;114.0;0.17
Фоторамки цифровые;17;96.0;0.11
Линзы для экшн-камер;17;96.0;0.11
Переключатели видеосигнала;17;96.0;0.11
Аккумуляторы для фотоаппаратов;17;114.0;0.17
Стримеры видеосигнала;17;114.0;0.17
Объективы;17;79.0;0.06
Экшн-камеры;17;96.0;0.11
Фотоаппараты;10;96.0;0.11
Сумки для фотоаппаратов;20;96.0;0.11
Фото и Видеотехника;12;114.0;0.17
Видеорегистраторы персональные;17;114.0;0.17
Кольцевые лампы;20;473.0;0.47
Дисплеи для камер;17;114.0;0.17
Средства для чистки оптики;17;114.0;0.17
Аккумуляторы для камер;17;96.0;0.11
Крышки для камер;17;96.0;0.11
Пульты для камер;17;96.0;0.11
Контроллеры видеосигнала;17;79.0;0.06
Чехлы для фотоаппаратов;20;96.0;0.11
Камеры подводные;17;114.0;0.17
Репитеры видеосигнала;17;114.0;0.17
Карты видеозахвата;17;114.0;0.17
Столы для предметной съемки;17;473.0;0.47
Реквизит для фотографа;20;114.0;0.17
Удлинители видеосигнала;17;114.0;0.17
Передатчики видеосигнала;17;79.0;0.06
Конвертеры видеосигнала;17;96.0;0.11
Диски для записи;17;114.0;0.17
Фотобоксы;17;592.0;0.7
Делители видеосигнала;17;79.0;0.06
Вентиляторы студийные;17;1260.0;1.12
Фотопленки;17;79.0;0.06
Переходные кольца;20;114.0;0.17
Кронштейны для видеотехники;17;114.0;0.17
Фильтры для камер;17;96.0;0.11
Отражатели для фотовспышки;17;114.0;0.17
Фотозонты;17;473.0;0.47
Декодеры видеосигнала;17;114.0;0.17
Карандаши для оптики;17;96.0;0.11
Пульты для MP3-плееров;17;114.0;0.17
Кейсы для камер;17;473.0;0.47
Салфетки для оптики;17;79.0;0.09
Фотовспышки;17;114.0;0.17
Фотоаппараты моментальной печати;17;114.0;0.17
Линзы для камер;17;96.0;0.11
Телесуфлеры;20;114.0;0.17
Крепления для камер;17;96.0;0.11
Термобумага для фотоаппаратов;17;114.0;0.17
Средства для пароконвектоматов;17;114.0;0.17
Приспособления для прочистки труб;17;96.0;0.11
Порошки для уборки;17;473.0;0.47
Ведра хозяйственные;17;592.0;0.7
Упаковочная пленка;17;473.0;0.47
Соль для посудомоечной машины;17;114.0;0.17
Шары для стиральной машины;17;96.0;0.11
Мешки для стирки;17;96.0;0.11
Капсулы для посудомоечных машин;17;114.0;0.17
Поглотители запаха;17;96.0;0.11
Пленка пищевая;17;96.0;0.11
Спреи для уборки;17;96.0;0.11
Очистители для унитаза;17;96.0;0.11
Средства для ухода за инструментом;17;114.0;0.17
Средства для мытья продуктов;17;96.0;0.11
Доски стиральные;17;473.0;0.47
Коврики для глажения;17;114.0;0.17
Пропитки для одежды;17;96.0;0.11
Уход за разделочными досками;17;114.0;0.26
Восстановители кожи;17;114.0;0.17
Насадки для швабр;17;96.0;0.11
Краски для ткани;17;96.0;0.11
Мешки для мусора;17;96.0;0.11
Средства для обоев и стен;17;114.0;0.17
Подложки для гладильных досок;17;775.0;1.12
Соль таблетированная;17;473.0;0.47
Пакеты пищевые;17;96.0;0.11
Средства для моек высокого давления;17;114.0;0.17
Веревки бельевые;17;96.0;0.11
Водосгоны;17;96.0;0.11
Гели для стирки;17;96.0;0.11
Саше ароматические;17;96.0;0.11
Вода для утюгов;17;79.0;0.06
Доски гладильные;17;1444.0;1.12
Защита от насекомых;17;96.0;0.11
Уголь активированный;17;96.0;0.11
Отбеливатели;17;96.0;0.11
Щетки для стекол;17;473.0;0.47
Ручки для переноски бутылей;17;79.0;0.09
Средства для мытья посуды;17;96.0;0.11
Таблетки для унитаза;17;96.0;0.11
Салфетки для уборки;17;79.0;0.06
Средства от накипи;17;96.0;0.11
Полотенца одноразовые;17;114.0;0.17
Спреи для одежды;17;79.0;0.06
Штанги телескопические;17;473.0;0.47
Жидкости для уборки;17;114.0;0.17
Гели для посудомоечных машин;17;114.0;0.17
Стойки для гладильного пресса;17;473.0;0.47
Кондиционеры для белья;17;96.0;0.11
Сетки для глажения;17;96.0;0.17
Ополаскиватели для посудомоечных машин;17;114.0;0.17
Прищепки;17;96.0;0.17
Хозяйственные товары;12;114.0;0.17
Ершики кухонные;17;96.0;0.17
Мешки хозяйственные;17;96.0;0.11
Туалетная бумага;17;473.0;0.47
Пятновыводители;17;96.0;0.11
Другие хозяйственные принадлежности;17;114.0;0.17
Чехлы для фумигаторов;17;79.0;0.06
Средства для стирки;17;96.0;0.11
Швабры;17;592.0;0.7
Клипсы для стирки и хранения;17;79.0;0.06
Фильтры для воды;17;473.0;0.47
Крахмал для белья;17;114.0;0.17
Порошки для посудомоечных машин;17;473.0;0.47
Средства для септиков;17;96.0;0.11
Средства для очистки сажи;17;473.0;0.47
Тазы хозяйственные;17;473.0;0.47
Корзины для белья;17;592.0;0.7
Совки;17;473.0;0.47
Освежители воздуха;17;96.0;0.11
Средства для прочистки труб;17;79.0;0.06
Губки меламиновые;17;96.0;0.17
Щетки для одежды;17;96.0;0.17
Крема для уборки;17;114.0;0.17
Средства для сельскохозяйственного оборудования;17;114.0;0.17
Таблетки для посудомоечных машин;17;114.0;0.17
Уход за украшениями;17;96.0;0.17
Картриджи для фильтров;17;114.0;0.17
Сушилки для белья;17;775.0;1.12
Ершики для унитаза;17;114.0;0.17
Масла смазочные;17;114.0;0.17
Скребки для посуды;17;96.0;0.17
Антисептик для бань;17;96.0;0.11
Губки хозяйственные;17;96.0;0.17
Щетки для уборки;17;473.0;0.47
Ручки для пакетов;17;96.0;0.17
Губки для посуды;17;96.0;0.11
Чехлы для гладильных досок;17;114.0;0.17
Салфетки для мытья посуды;17;114.0;0.17
Средства для жироуловителей;17;114.0;0.17
Мыло металлическое;17;96.0;0.11
Тележки уборочные;17;775.0;1.12
Ленты клипсаторные;17;114.0;0.26
Крысоловки;17;114.0;0.17
Бумажные салфетки;17;79.0;0.09
Средства против окрашивания;17;96.0;0.11
Капсулы для стирки;17;96.0;0.11
Средства для ухода за баней и сауной;17;114.0;0.17
Бумага для выпечки;17;96.0;0.11
Уход за техникой;17;96.0;0.11
Скребки для стеклокерамики;17;96.0;0.11
Щетки для гриля;17;96.0;0.11
Стиральные порошки;17;473.0;0.47
Жидкие средства для стирки;17;96.0;0.11
Этикетки на упаковки для яиц;17;114.0;0.26
Мыло хозяйственное;17;96.0;0.11
Теплоносители;17;473.0;0.47
Фольга пищевая;17;96.0;0.11
Косметика для мебели;17;96.0;0.11
Жидкости для биотуалетов;17;473.0;0.47
Фумигаторы;17;96.0;0.11
Упаковки для яиц;17;114.0;0.17
Гели для уборки;17;114.0;0.17
Пакеты упаковочные;17;96.0;0.11
Средства для очистки воды;17;114.0;0.17
Пакеты полиэтиленовые;17;96.0;0.11
Салфетки для одежды;17;79.0;0.06
Вантузы;17;96.0;0.17
Мусорные ведра;17;473.0;0.47
Подсветки для унитаза;17;114.0;0.17
Покрытия для унитаза;17;79.0;0.09
Мышеловки;17;96.0;0.11
Перчатки хозяйственные;17;96.0;0.11
Полотенца бумажные;17;473.0;0.47
Пылевыбивалки;17;473.0;0.47
Складные мусорные корзины;17;473.0;0.47
Ролики для одежды;17;96.0;0.11
Прессы для бутылок;17;114.0;0.17
Щетки кухонные;17;96.0;0.11
Бумага пищевая;17;96.0;0.11
Органайзеры для хранения;17;473.0;0.47
Магнитные держатели;17;96.0;0.11
Штанги для вешалок;17;473.0;0.47
Мешки для хранения белья;17;96.0;0.11
Ключницы настенные;17;96.0;0.11
Вешалки на дверь;17;114.0;0.17
Крючки настенные;17;96.0;0.11
Подставки для париков;17;114.0;0.17
Кронштейны для полок;17;114.0;0.17
Органайзеры настенные;17;114.0;0.17
Системы хранения;17;473.0;0.47
Держатели для украшений;17;96.0;0.11
Насосы для вакуумных пакетов;17;96.0;0.17
Насосы вакуумные;20;592.0;0.7
Держатели для медалей;17;96.0;0.11
Мешочки для хранения;17;96.0;0.11
Подставки для сумок;17;473.0;0.47
Кейсы для хранения игровых карт;17;114.0;0.26
Корзинки;17;473.0;0.47
Коробки картонные;17;592.0;0.7
Вакуумные пакеты;17;114.0;0.17
Формодержатели надувные для сумок;15;114.0;0.17
Разделители для ящиков;17;96.0;0.11
Коробки для хранения;17;473.0;0.47
Кармашки в шкафчик;17;96.0;0.11
Таблички для органайзеров и ящиков;17;473.0;0.47
Подставки для головных уборов;17;79.0;0.06
Чехлы для одежды;17;114.0;0.17
Вешалки-плечики;17;114.0;0.17
Держатели для резинок;17;775.0;1.12
Крючки для сумок;17;79.0;0.09
Органайзеры дверные;17;96.0;0.11
Газетницы;17;592.0;0.7
Кейсы для дисков;17;96.0;0.11
Хранение вещей;12;315.0;0.47
Этажерки;17;592.0;0.7
Музыка (цифровой контент);10;0.0;0.0
Цифровые аудиоучебники;10;0.0;0.0
Цифровые коды;10;0.0;0.0
Цифровые аудиокниги;10;0.0;0.0
Подписки на сервис;10;0.0;0.0
Цифровые учебники;10;0.0;0.0
Цифровые журналы;10;0.0;0.0
Цифровые листы для записи;10;0.0;0.0
Цифровой контент;5;0.0;0.0
Игры (цифровой контент);10;0.0;0.0
Цифровые книги;10;0.0;0.0
Цифровые наборы карточек;10;0.0;0.0
Абонемент в фитнес-клуб;10;0.0;0.0
Цифровые мультимедиа;10;0.0;0.0
Цифровые видеокурсы;10;0.0;0.0
Портьеры;20;473.0;0.47
Люверсы;20;96.0;0.11
Шторы интерьерные;20;473.0;0.47
Фототюль;20;96.0;0.11
Крючки для штор;20;96.0;0.17
Тюль;20;96.0;0.11
Шторы и аксессуары;15;315.0;0.47
Москитные сетки;20;96.0;0.11
Ламбрекены;20;79.0;0.06
Рулонные шторы;20;473.0;0.47
Римские шторы;20;473.0;0.47
Жалюзи;20;473.0;0.47
Утяжелители для штор;20;79.0;0.06
Фотошторы;20;473.0;0.47
Шторы уличные;20;592.0;0.7
Шторы для ванной;20;114.0;0.17
Ленты для штор;20;114.0;0.17
Кольца для штор;20;96.0;0.17
Подхваты;20;96.0;0.11
Гардины;20;473.0;0.47
Электроточилки;17;96.0;0.11
Фотоловушки;17;114.0;0.17
Радиосинхронизаторы;17;79.0;0.06
Матрицы для ноутбуков;17;114.0;0.17
Скрепки для сим-карт;17;114.0;0.26
Аксессуары для квадрокоптеров;17;114.0;0.17
Трансиверы;17;114.0;0.17
Видеодиски;17;96.0;0.11
NFC карты;17;114.0;0.17
